language,extension,include_final
Java,java,TRUE
Text,txt,TRUE
JSON,json,TRUE
JSON,geojson,TRUE
JavaScript,js,TRUE
JavaScript,jsx,TRUE
HTML,html,TRUE
HTML,htm,TRUE
HTML,xhtml,TRUE
Markdown,md,TRUE
Markdown,markdown,TRUE
CSV,csv,FALSE
XML,xml,TRUE
XML,hocr,TRUE
XML,xaml,TRUE
XML,,TRUE
XML,storyboard,TRUE
XML,glif,TRUE
XML,csproj,TRUE
XML,fxml,TRUE
XML,xib,TRUE
XML,resx,FALSE
XML,pt,FALSE
XML,rss,FALSE
XML,xsd,TRUE
XML,config,TRUE
XML,kml,FALSE
Python,py,TRUE
Python,,TRUE
C#,cs,TRUE
PHP,php,TRUE
PHP,ctp,TRUE
C++,cpp,TRUE
C++,h,TRUE
C++,hpp,TRUE
C++,cc,TRUE
C++,ino,TRUE
C++,,FALSE
C++,cxx,TRUE
CSS,css,TRUE
TypeScript,ts,TRUE
C,c,TRUE
C,h,TRUE
Ruby,rb,TRUE
Ruby,,TRUE
Ruby,jbuilder,TRUE
Ruby,rake,TRUE
Ruby,gemspec,TRUE
YAML,yml,TRUE
YAML,yaml,TRUE
YAML,lock,TRUE
SVG,svg,FALSE
Unity3D Asset,meta,FALSE
Unity3D Asset,prefab,FALSE
Unity3D Asset,unity,FALSE
Unity3D Asset,asset,FALSE
Unity3D Asset,anim,FALSE
Unity3D Asset,mat,FALSE
Objective-C,h,TRUE
Objective-C,m,TRUE
Objective-C,,TRUE
SCSS,scss,TRUE
Shell,sh,TRUE
Shell,,TRUE
Shell,env,FALSE
Shell,bash,TRUE
Shell,example,TRUE
Shell,zsh,TRUE
Go,go,TRUE
Kotlin,kt,TRUE
Kotlin,kts,TRUE
Jupyter Notebook,ipynb,TRUE
Vue,vue,TRUE
Swift,swift,TRUE
HTML+ERB,erb,TRUE
HTML+ERB,rhtml,TRUE
TSX,tsx,TRUE
Ignore List,gitignore,FALSE
Ignore List,npmignore,FALSE
Ignore List,dockerignore,FALSE
Ignore List,eslintignore,FALSE
Java Server Pages,jsp,TRUE
Java Server Pages,tag,TRUE
Java Server Pages,,TRUE
SQL,sql,TRUE
SQL,tab,FALSE
INI,properties,TRUE
INI,ini,TRUE
INI,prefs,FALSE
INI,cfg,FALSE
INI,url,FALSE
R,r,TRUE
R,rd,TRUE
Blade,php,TRUE
MATLAB,m,TRUE
Scala,scala,TRUE
Scala,sbt,TRUE
Scala,sc,FALSE
Makefile,,TRUE
Makefile,d,FALSE
Makefile,mk,TRUE
Makefile,make,FALSE
Makefile,am,TRUE
Makefile,mak,TRUE
Dart,dart,TRUE
Java Properties,properties,FALSE
HTML+Razor,cshtml,TRUE
HTML+Razor,razor,TRUE
TeX,tex,TRUE
TeX,aux,FALSE
TeX,toc,FALSE
TeX,sty,TRUE
TeX,ins,TRUE
TeX,ltx,FALSE
TeX,cls,TRUE
Lua,lua,TRUE
Rust,rs,TRUE
TSV,tsv,FALSE
Smali,smali,TRUE
Dockerfile,,TRUE
Dockerfile,dockerfile,TRUE
reStructuredText,rst,TRUE
reStructuredText,txt,TRUE
reStructuredText,rest,FALSE
Hack,php,TRUE
Hack,hack,TRUE
CMake,txt,TRUE
CMake,cmake,TRUE
CMake,in,TRUE
Less,less,TRUE
Microsoft Visual Studio Solution,sln,TRUE
WebVTT,vtt,FALSE
Gradle,gradle,TRUE
Pug,pug,TRUE
Pug,jade,TRUE
EJS,ejs,TRUE
Twig,twig,TRUE
ASP.NET,aspx,TRUE
ASP.NET,ascx,TRUE
ASP.NET,asax,TRUE
ASP.NET,ashx,TRUE
ASP.NET,asmx,TRUE
Haskell,hs,TRUE
Haskell,,TRUE
Diff,patch,FALSE
Diff,diff,FALSE
Gherkin,story,TRUE
Gherkin,feature,TRUE
Handlebars,hbs,TRUE
Handlebars,handlebars,TRUE
TSQL,sql,TRUE
Wikitext,wikitext,FALSE
Wikitext,wiki,TRUE
Wikitext,mediawiki,TRUE
Perl,pl,TRUE
Perl,pm,TRUE
Perl,t,TRUE
Perl,,TRUE
Perl,cgi,TRUE
Perl,al,FALSE
Perl,ph,FALSE
Batchfile,bat,TRUE
Batchfile,cmd,TRUE
Groovy,groovy,TRUE
Groovy,,TRUE
Public Key,pub,FALSE
Public Key,asc,FALSE
Visual Basic .NET,vb,TRUE
Visual Basic .NET,vbhtml,TRUE
Haml,haml,TRUE
CoffeeScript,coffee,TRUE
CoffeeScript,cjsx,TRUE
Smalltalk,st,TRUE
Smalltalk,cs,TRUE
ActionScript,as,TRUE
RMarkdown,rmd,TRUE
RMarkdown,qmd,TRUE
Wavefront Object,obj,FALSE
Pascal,pas,TRUE
Pascal,dfm,TRUE
Pascal,pp,FALSE
Pascal,dpr,FALSE
Pascal,inc,FALSE
Pascal,,FALSE
Pascal,lpr,TRUE
PostScript,eps,FALSE
PostScript,ps,FALSE
